idacr,idnum,year,totimp,totexp,tottrade
USA,2,1948,11016.10,7250.14,18266.24
USA,2,1949,11406.80,6778.44,18185.24
USA,2,1950,9561.22,8596.01,18157.22
USA,2,1951,13996.98,10728.14,24725.11
USA,2,1952,14006.75,10497.61,24504.36
USA,2,1953,14204.55,10772.22,24976.77
USA,2,1954,13813.87,10025.43,23839.30
USA,2,1955,14480.65,11192.05,25672.70
USA,2,1956,17811.99,12623.94,30435.93
USA,2,1957,19789.86,13327.22,33117.08
USA,2,1958,17072.88,13475.42,30548.30
USA,2,1959,16933.91,15852.33,32786.24
USA,2,1960,19592.92,15263.85,34856.77
USA,2,1961,20110.75,14907.14,35017.89
USA,2,1962,20957.22,16805.13,37762.35
USA,2,1963,22438.11,17635.48,40073.59
USA,2,1964,25502.41,19239.87,44742.27
USA,2,1965,26652.60,22141.47,48794.08
USA,2,1966,29287.99,26718.85,56006.83
USA,2,1967,30690.51,27639.79,58330.30
USA,2,1968,33602.95,33975.74,67578.69
USA,2,1969,36912.94,36780.09,73693.03
USA,2,1970,41975.26,40825.55,82800.81
USA,2,1971,43077.68,46705.49,89783.18
USA,2,1972,48736.30,56833.07,105569.37
USA,2,1973,69329.35,71138.24,140467.59
USA,2,1974,96735.93,105145.98,201881.91
USA,2,1975,105772.70,101422.92,207195.62
USA,2,1976,113246.51,127779.73,241026.24
USA,2,1977,119270.49,155146.22,274416.71
USA,2,1978,140801.16,179883.60,320684.77
USA,2,1979,178324.51,214731.94,393056.44
USA,2,1980,216303.56,247956.06,464259.62
USA,2,1981,229380.76,263678.56,493059.32
USA,2,1982,208131.54,245405.72,453537.26
USA,2,1983,196472.05,259490.59,455962.64
USA,2,1984,213111.85,328516.49,541628.33
USA,2,1985,208814.41,348303.98,557118.39
USA,2,1986,212984.19,374269.87,587254.05
USA,2,1987,247537.49,409660.91,657198.40
USA,2,1988,313118.80,445118.54,758237.34
USA,2,1989,356030.78,480126.00,836156.78
USA,2,1990,384901.64,503520.19,888421.83
USA,2,1991,413506.61,496897.23,910403.84
USA,2,1992,436381.94,538796.15,975178.09
USA,2,1993,453832.18,585682.22,1039514.41
USA,2,1994,499835.92,673770.85,1173606.77
USA,2,1995,568054.06,754536.54,1322590.60
USA,2,1996,608167.41,801108.03,1409275.43
USA,2,1997,685652.72,897180.79,1582833.51
USA,2,1998,677593.90,943838.64,1621432.53
USA,2,1999,664713.86,1046369.82,1711083.68
USA,2,2000,769531.11,1235811.98,2005343.09
CAN,20,1948,3003.40,2566.28,5569.68
CAN,20,1949,2825.63,2584.06,5409.69
CAN,20,1950,2813.97,2785.50,5599.47
CAN,20,1951,5467.98,3703.90,9171.88
CAN,20,1952,4362.03,3991.98,8354.01
CAN,20,1953,4157.02,4349.93,8506.95
CAN,20,1954,3963.13,4071.91,8035.04
CAN,20,1955,4323.67,4619.70,8943.37
CAN,20,1956,4860.16,5626.17,10486.33
CAN,20,1957,5058.06,5702.59,10760.65
CAN,20,1958,5006.44,5212.01,10218.45
CAN,20,1959,5313.36,5731.69,11045.05
CAN,20,1960,5387.29,5389.58,10776.87
CAN,20,1961,5757.52,5599.05,11356.57
CAN,20,1962,5881.59,5739.58,11621.16
CAN,20,1963,6411.88,5920.36,12332.25
CAN,20,1964,7624.83,6769.24,14394.07
CAN,20,1965,8047.27,7837.62,15884.89
CAN,20,1966,9524.48,9043.41,18567.89
CAN,20,1967,10509.17,10117.33,20626.50
CAN,20,1968,12505.37,11304.64,23810.00
CAN,20,1969,13695.06,12974.50,26669.55
CAN,20,1970,15954.20,13139.65,29093.85
CAN,20,1971,17574.87,15322.40,32897.27
CAN,20,1972,20001.85,18707.27,38709.12
CAN,20,1973,25164.36,23118.14,48282.50
CAN,20,1974,32329.84,31898.54,64228.38
CAN,20,1975,31831.96,33726.07,65558.03
CAN,20,1976,38624.37,37749.64,76374.01
CAN,20,1977,41617.07,39369.15,80986.22
CAN,20,1978,46040.95,43379.50,89420.45
CAN,20,1979,54926.61,52873.33,107799.94
CAN,20,1980,64133.13,58060.86,122193.99
CAN,20,1981,69024.63,64894.03,133918.66
CAN,20,1982,67805.31,54008.54,121813.85
CAN,20,1983,73469.57,60778.48,134248.05
CAN,20,1984,87069.27,72684.94,159754.22
CAN,20,1985,86891.39,75549.05,162440.45
CAN,20,1986,86077.03,79901.18,165978.21
CAN,20,1987,93824.70,86616.68,180441.39
CAN,20,1988,111144.46,104810.63,215955.10
CAN,20,1989,115144.44,111227.35,226371.79
CAN,20,1990,126001.65,113853.66,239855.32
CAN,20,1991,125488.77,114080.85,239569.63
CAN,20,1992,133089.02,118043.72,251132.75
CAN,20,1993,140906.13,127021.99,267928.12
CAN,20,1994,160916.78,143181.86,304098.64
CAN,20,1995,189268.50,158761.78,348030.28
CAN,20,1996,199580.10,165308.63,364888.73
CAN,20,1997,212952.82,192342.23,405295.05
CAN,20,1998,211310.98,195670.09,406981.07
CAN,20,1999,237280.71,210423.50,447704.21
CAN,20,2000,275177.30,234370.66,509547.95
BHM,31,1973,524.46,756.06,1280.52
BHM,31,1974,1449.28,1878.81,3328.09
BHM,31,1975,2497.07,2850.33,5347.40
BHM,31,1976,3063.11,3160.11,6223.21
BHM,31,1977,3366.23,3423.43,6789.66
BHM,31,1978,3142.86,3126.60,6269.46
BHM,31,1979,3923.11,3679.91,7603.03
BHM,31,1980,4651.82,2616.66,7268.48
BHM,31,1981,6166.31,2552.70,8719.01
BHM,31,1982,4619.62,1683.60,6303.22
BHM,31,1983,4048.15,3293.26,7341.41
BHM,31,1984,3793.13,4104.61,7897.74
BHM,31,1985,2760.32,3226.89,5987.20
BHM,31,1986,2730.79,3295.51,6026.30
BHM,31,1987,2736.49,3046.65,5783.15
BHM,31,1988,2286.03,1882.69,4168.72
BHM,31,1989,3306.90,2994.83,6301.73
BHM,31,1990,1014.09,2273.25,3287.34
BHM,31,1991,871.40,2166.73,3038.13
BHM,31,1992,1076.43,2436.67,3513.10
BHM,31,1993,823.92,3398.95,4222.87
BHM,31,1994,783.20,2807.39,3590.59
BHM,31,1995,800.58,2239.99,3040.57
BHM,31,1996,942.78,3604.97,4547.75
BHM,31,1997,946.91,2436.74,3383.65
BHM,31,1998,1122.55,3169.32,4291.87
BHM,31,1999,2017.07,3588.41,5605.47
BHM,31,2000,1677.35,4041.27,5718.61
CUB,40,1948,636.41,566.74,1203.15
CUB,40,1949,568.32,493.03,1061.35
CUB,40,1950,629.71,554.25,1183.96
CUB,40,1951,749.30,695.39,1444.69
CUB,40,1952,649.71,663.01,1312.72
CUB,40,1953,620.21,518.34,1138.55
CUB,40,1954,526.11,523.96,1050.07
CUB,40,1955,583.10,616.62,1199.72
CUB,40,1956,665.40,689.69,1355.09
CUB,40,1957,800.20,834.63,1634.83
CUB,40,1958,774.77,798.31,1573.08
CUB,40,1959,645.31,689.50,1334.81
CUB,40,1960,655.00,494.25,1149.26
CUB,40,1961,589.92,651.14,1241.06
CUB,40,1962,568.74,675.45,1244.19
CUB,40,1963,558.98,775.35,1334.33
CUB,40,1964,692.33,883.42,1575.75
CUB,40,1965,696.31,781.86,1478.17
CUB,40,1966,640.59,921.54,1562.13
CUB,40,1967,732.03,978.79,1710.82
CUB,40,1968,658.70,1044.69,1703.39
CUB,40,1969,661.98,1135.64,1797.61
CUB,40,1970,1075.46,1249.02,2324.47
CUB,40,1971,923.06,1260.33,2183.39
CUB,40,1972,750.36,1263.41,2013.77
CUB,40,1973,1244.88,1510.53,2755.41
CUB,40,1974,2321.47,2422.89,4744.36
CUB,40,1975,3596.94,3614.65,7211.59
CUB,40,1976,3171.54,3520.40,6691.94
CUB,40,1977,3352.84,3997.85,7350.69
CUB,40,1978,4352.50,4458.22,8810.72
CUB,40,1979,4804.35,4971.20,9775.55
CUB,40,1980,5299.02,6335.00,11634.03
CUB,40,1981,5108.75,6644.58,11753.33
CUB,40,1982,5854.75,6623.58,12478.33
CUB,40,1983,6378.48,6975.80,13354.28
CUB,40,1984,5182.01,6599.08,11781.09
CUB,40,1985,4932.50,6856.81,11789.31
CUB,40,1986,4340.79,6022.98,10363.77
CUB,40,1987,4178.08,4869.11,9047.18
CUB,40,1988,4122.46,5260.41,9382.87
CUB,40,1989,3739.67,4994.51,8734.18
CUB,40,1990,3343.32,4680.67,8023.99
CUB,40,1991,2289.92,3199.43,5489.35
CUB,40,1992,1943.70,1889.54,3833.24
CUB,40,1993,1294.29,1745.17,3039.46
CUB,40,1994,1520.07,2057.38,3577.45
CUB,40,1995,1651.06,2834.42,4485.48
CUB,40,1996,2055.48,3288.72,5344.19
CUB,40,1997,2204.50,3158.73,5363.23
CUB,40,1998,1914.98,3530.86,5445.83
CUB,40,1999,1825.12,3659.43,5484.56
CUB,40,2000,1905.33,3605.45,5510.78
HAI,41,1948,29.57,29.47,59.03
HAI,41,1949,39.47,37.51,76.98
HAI,41,1950,40.77,41.14,81.91
HAI,41,1951,51.05,45.05,96.10
HAI,41,1952,52.06,52.79,104.85
HAI,41,1953,38.76,43.43,82.19
HAI,41,1954,57.67,48.26,105.93
HAI,41,1955,37.37,40.91,78.27
HAI,41,1956,42.70,47.50,90.20
HAI,41,1957,29.80,31.80,61.59
HAI,41,1958,47.12,40.52,87.64
HAI,41,1959,28.77,38.66,67.43
HAI,41,1960,38.53,37.46,76.00
HAI,41,1961,30.27,32.47,62.73
HAI,41,1962,40.21,36.21,76.42
HAI,41,1963,44.67,35.76,80.43
HAI,41,1964,38.78,37.41,76.20
HAI,41,1965,39.16,38.69,77.85
HAI,41,1966,39.38,37.36,76.75
HAI,41,1967,34.65,39.56,74.21
HAI,41,1968,36.72,38.31,75.03
HAI,41,1969,38.18,44.89,83.07
HAI,41,1970,41.83,53.26,95.10
HAI,41,1971,50.50,59.42,109.93
HAI,41,1972,43.48,66.65,110.13
HAI,41,1973,52.54,76.84,129.38
HAI,41,1974,72.97,107.07,180.04
HAI,41,1975,82.27,136.01,218.28
HAI,41,1976,118.98,190.52,309.50
HAI,41,1977,144.17,195.25,339.42
HAI,41,1978,160.64,205.79,366.43
HAI,41,1979,147.59,239.82,387.42
HAI,41,1980,227.27,322.65,549.92
HAI,41,1981,159.03,366.25,525.28
HAI,41,1982,186.80,502.94,689.74
HAI,41,1983,173.75,594.54,768.29
HAI,41,1984,185.09,649.34,834.42
HAI,41,1985,174.98,581.09,756.07
HAI,41,1986,191.19,347.10,538.29
HAI,41,1987,220.35,386.00,606.35
HAI,41,1988,186.59,402.74,589.33
HAI,41,1989,154.08,292.91,446.99
HAI,41,1990,262.60,481.34,743.94
HAI,41,1991,339.45,647.61,987.05
HAI,41,1992,169.27,394.05,563.32
HAI,41,1993,212.72,434.51,647.23
HAI,41,1994,109.95,374.23,484.19
HAI,41,1995,199.08,937.87,1136.95
HAI,41,1996,272.34,868.73,1141.07
HAI,41,1997,302.72,993.20,1295.92
HAI,41,1998,483.90,1054.06,1537.96
HAI,41,1999,564.95,1167.17,1732.12
HAI,41,2000,551.69,1172.07,1723.75
DOM,42,1948,82.95,62.55,145.51
DOM,42,1949,72.36,49.65,122.01
DOM,42,1950,84.57,48.83,133.40
DOM,42,1951,117.77,62.42,180.19
DOM,42,1952,114.69,100.15,214.83
DOM,42,1953,101.00,90.66,191.66
DOM,42,1954,117.91,86.84,204.75
DOM,42,1955,115.64,101.49,217.13
DOM,42,1956,126.90,112.48,239.38
DOM,42,1957,156.60,119.48,276.08
DOM,42,1958,126.03,130.91,256.93
DOM,42,1959,127.92,111.61,239.53
DOM,42,1960,179.48,95.75,275.22
DOM,42,1961,143.37,78.41,221.78
DOM,42,1962,178.14,61.37,239.51
DOM,42,1963,178.12,162.82,340.94
DOM,42,1964,182.88,99.63,282.51
DOM,42,1965,125.84,104.33,230.16
DOM,42,1966,140.62,168.86,309.48
DOM,42,1967,160.62,196.59,357.21
DOM,42,1968,166.87,202.74,369.62
DOM,42,1969,189.10,219.32,408.41
DOM,42,1970,221.92,280.54,502.47
DOM,42,1971,244.35,337.46,581.81
DOM,42,1972,337.73,779.59,1117.31
DOM,42,1973,445.99,796.44,1242.43
DOM,42,1974,645.75,1009.13,1654.88
DOM,42,1975,889.42,1354.90,2244.32
DOM,42,1976,720.87,1306.59,2027.46
DOM,42,1977,774.97,1210.90,1985.87
DOM,42,1978,676.16,1231.61,1907.77
DOM,42,1979,891.46,1182.76,2074.22
DOM,42,1980,964.17,1553.31,2517.48
DOM,42,1981,1186.45,1575.21,2761.65
DOM,42,1982,822.97,1442.21,2265.18
DOM,42,1983,813.91,1471.17,2285.08
DOM,42,1984,890.37,1254.30,2144.67
DOM,42,1985,752.53,1295.59,2048.12
DOM,42,1986,740.55,1390.66,2131.21
DOM,42,1987,738.29,1605.19,2343.48
DOM,42,1988,908.84,1639.05,2547.89
DOM,42,1989,985.72,2002.51,2988.24
DOM,42,1990,774.09,1995.02,2769.11
DOM,42,1991,699.14,2003.08,2702.22
DOM,42,1992,608.91,2335.08,2944.00
DOM,42,1993,575.88,2586.35,3162.24
DOM,42,1994,687.30,2023.37,2710.67
DOM,42,1995,863.39,1883.90,2747.29
DOM,42,1996,972.25,1968.48,2940.73
DOM,42,1997,4697.71,6845.75,11543.47
DOM,42,1998,5116.01,7621.92,12737.93
DOM,42,1999,5323.54,8068.43,13391.97
DOM,42,2000,5903.36,9500.19,15403.55
JAM,51,1962,174.13,216.45,390.58
JAM,51,1963,197.99,218.72,416.71
JAM,51,1964,210.00,272.55,482.55
JAM,51,1965,204.67,287.96,492.63
JAM,51,1966,215.13,315.62,530.75
JAM,51,1967,213.63,333.82,547.46
JAM,51,1968,210.28,368.64,578.92
JAM,51,1969,243.66,427.20,670.86
JAM,51,1970,329.28,512.81,842.09
JAM,51,1971,329.66,540.35,870.02
JAM,51,1972,360.70,594.02,954.71
JAM,51,1973,381.26,642.47,1023.72
JAM,51,1974,715.18,913.56,1628.74
JAM,51,1975,774.85,1120.47,1895.32
JAM,51,1976,640.80,910.72,1551.52
JAM,51,1977,742.23,757.80,1500.03
JAM,51,1978,741.98,926.47,1668.45
JAM,51,1979,828.95,888.65,1717.60
JAM,51,1980,956.32,947.49,1903.81
JAM,51,1981,969.39,1200.14,2169.53
JAM,51,1982,762.64,1173.21,1935.85
JAM,51,1983,687.21,1087.27,1774.48
JAM,51,1984,759.65,1009.35,1769.00
JAM,51,1985,571.94,1046.72,1618.66
JAM,51,1986,603.92,937.57,1541.50
JAM,51,1987,722.56,1202.13,1924.69
JAM,51,1988,863.12,1436.57,2299.69
JAM,51,1989,989.31,1765.80,2755.11
JAM,51,1990,1146.77,1804.28,2951.05
JAM,51,1991,1173.90,1726.25,2900.15
JAM,51,1992,1381.20,1745.31,3126.52
JAM,51,1993,1478.17,2045.66,3523.83
JAM,51,1994,1598.89,1926.27,3525.17
JAM,51,1995,1802.81,2541.86,4344.67
JAM,51,1996,1926.88,2920.22,4847.11
JAM,51,1997,1901.59,3132.52,5034.11
JAM,51,1998,1514.23,2944.35,4458.58
JAM,51,1999,1468.06,2913.59,4381.65
JAM,51,2000,1493.49,3143.81,4637.30
TRI,52,1962,277.45,345.18,622.62
TRI,52,1963,309.61,366.86,676.47
TRI,52,1964,336.75,411.77,748.52
TRI,52,1965,330.13,465.93,796.05
TRI,52,1966,350.55,449.85,800.40
TRI,52,1967,379.17,408.49,787.66
TRI,52,1968,404.63,417.65,822.28
TRI,52,1969,429.50,466.04,895.54
TRI,52,1970,455.73,527.74,983.48
TRI,52,1971,681.01,790.27,1471.28
TRI,52,1972,538.91,724.39,1263.30
TRI,52,1973,637.57,846.53,1484.10
TRI,52,1974,1913.69,1885.26,3798.95
TRI,52,1975,1870.89,1712.54,3583.43
TRI,52,1976,2148.40,2091.49,4239.89
TRI,52,1977,2147.66,1934.58,4082.23
TRI,52,1978,1964.08,2010.49,3974.58
TRI,52,1979,2378.38,2050.32,4428.70
TRI,52,1980,3526.36,3138.90,6665.26
TRI,52,1981,3502.19,3130.89,6633.08
TRI,52,1982,2856.01,3556.71,6412.72
TRI,52,1983,2153.20,2484.51,4637.70
TRI,52,1984,1941.57,2675.14,4616.71
TRI,52,1985,2042.39,1844.71,3887.09
TRI,52,1986,1294.19,1389.50,2683.70
TRI,52,1987,1331.76,1131.65,2463.40
TRI,52,1988,1268.44,1111.95,2380.39
TRI,52,1989,1386.72,1218.97,2605.69
TRI,52,1990,1743.94,1214.52,2958.45
TRI,52,1991,1743.90,1628.48,3372.37
TRI,52,1992,1575.33,1421.75,2997.07
TRI,52,1993,1428.87,1386.05,2814.92
TRI,52,1994,1636.10,1122.78,2758.88
TRI,52,1995,1857.28,1677.75,3535.03
TRI,52,1996,2439.43,2201.81,4641.24
TRI,52,1997,2682.93,3106.62,5789.55
TRI,52,1998,2380.94,3102.67,5483.62
TRI,52,1999,12975.17,2883.52,15858.69
TRI,52,2000,3228.70,2454.06,5682.76
BAR,53,1966,30.02,76.38,106.41
BAR,53,1967,26.44,82.30,108.75
BAR,53,1968,25.21,59.41,84.62
BAR,53,1969,26.12,75.60,101.72
BAR,53,1970,33.70,136.20,169.90
BAR,53,1971,29.09,127.42,156.51
BAR,53,1972,30.72,139.41,170.12
BAR,53,1973,40.41,166.20,206.61
BAR,53,1974,57.85,200.33,258.18
BAR,53,1975,85.07,206.11,291.18
BAR,53,1976,67.26,227.04,294.29
BAR,53,1977,75.67,262.54,338.22
BAR,53,1978,95.26,296.39,391.65
BAR,53,1979,130.61,409.09,539.69
BAR,53,1980,172.49,498.80,671.29
BAR,53,1981,166.62,549.07,715.69
BAR,53,1982,196.81,526.23,723.04
BAR,53,1983,261.48,601.71,863.19
BAR,53,1984,318.95,605.98,924.93
BAR,53,1985,283.75,581.93,865.68
BAR,53,1986,225.31,578.05,803.35
BAR,53,1987,119.12,500.02,619.14
BAR,53,1988,136.86,561.46,698.32
BAR,53,1989,145.08,647.98,793.06
BAR,53,1990,131.03,653.99,785.02
BAR,53,1991,179.82,693.45,873.27
BAR,53,1992,169.87,569.31,739.18
BAR,53,1993,174.64,605.57,780.21
BAR,53,1994,176.47,647.67,824.14
BAR,53,1995,240.66,710.73,951.40
BAR,53,1996,282.33,867.23,1149.56
BAR,53,1997,400.23,1045.24,1445.47
BAR,53,1998,390.55,1091.27,1481.82
BAR,53,1999,424.87,1187.23,1612.10
BAR,53,2000,405.80,1227.84,1633.64
DMA,54,1978,15.64,20.54,36.18
DMA,54,1979,12.24,17.58,29.82
DMA,54,1980,10.38,39.01,49.38
DMA,54,1981,34.85,27.79,62.63
DMA,54,1982,28.01,45.10,73.11
DMA,54,1983,27.42,41.79,69.21
DMA,54,1984,33.06,53.55,86.60
DMA,54,1985,30.51,51.37,81.88
DMA,54,1986,43.43,52.82,96.25
DMA,54,1987,48.89,62.64,111.53
DMA,54,1988,58.83,83.15,141.98
DMA,54,1989,62.81,101.99,164.79
DMA,54,1990,61.27,112.28,173.55
DMA,54,1991,115.62,106.54,222.16
DMA,54,1992,115.02,162.20,277.22
DMA,54,1993,81.38,130.35,211.74
DMA,54,1994,81.44,167.41,248.85
DMA,54,1995,84.41,181.72,266.12
DMA,54,1996,85.11,186.60,271.70
DMA,54,1997,86.66,191.64,278.30
DMA,54,1998,88.25,191.19,279.43
DMA,54,1999,98.26,194.77,293.03
DMA,54,2000,93.63,199.74,293.37
GRN,55,1974,8.76,16.05,24.81
GRN,55,1975,12.21,21.55,33.76
GRN,55,1976,13.04,22.34,35.39
GRN,55,1977,14.56,32.37,46.92
GRN,55,1978,17.14,41.13,58.27
GRN,55,1979,22.66,49.08,71.74
GRN,55,1980,17.97,28.53,46.49
GRN,55,1981,21.00,51.75,72.75
GRN,55,1982,19.19,54.50,73.68
GRN,55,1983,20.72,47.60,68.32
GRN,55,1984,19.21,51.44,70.65
GRN,55,1985,22.24,63.74,85.98
GRN,55,1986,27.23,77.16,104.39
GRN,55,1987,29.94,81.07,111.01
GRN,55,1988,32.94,90.89,123.82
GRN,55,1989,28.52,98.19,126.71
GRN,55,1990,22.84,106.70,129.54
GRN,55,1991,28.36,114.29,142.64
GRN,55,1992,58.19,97.14,155.33
GRN,55,1993,27.93,108.89,136.81
GRN,55,1994,23.75,73.37,97.12
GRN,55,1995,27.49,82.02,109.52
GRN,55,1996,35.83,164.43,200.26
GRN,55,1997,36.54,167.40,203.94
GRN,55,1998,36.97,169.41,206.38
GRN,55,1999,37.53,171.88,209.41
GRN,55,2000,38.29,175.64,213.93
SLU,56,1979,5.83,5.23,11.05
SLU,56,1980,31.10,24.15,55.25
SLU,56,1981,36.73,33.49,70.22
SLU,56,1982,37.00,29.20,66.19
SLU,56,1983,40.36,23.43,63.79
SLU,56,1984,41.97,25.47,67.44
SLU,56,1985,58.66,36.55,95.22
SLU,56,1986,104.60,63.41,168.01
SLU,56,1987,82.36,77.60,159.96
SLU,56,1988,147.59,185.57,333.15
SLU,56,1989,125.64,200.76,326.40
SLU,56,1990,151.54,198.44,349.98
SLU,56,1991,120.93,219.77,340.70
SLU,56,1992,142.11,220.58,362.70
SLU,56,1993,123.22,210.70,333.92
SLU,56,1994,105.05,235.80,340.85
SLU,56,1995,126.27,291.74,418.02
SLU,56,1996,133.19,253.56,386.75
SLU,56,1997,135.76,258.54,394.30
SLU,56,1998,137.40,261.88,399.27
SLU,56,1999,139.37,265.48,404.84
SLU,56,2000,142.30,271.23,413.53
SVG,57,1979,16.55,46.79,63.33
SVG,57,1980,17.76,57.58,75.34
SVG,57,1981,27.90,61.85,89.75
SVG,57,1982,34.19,65.08,99.27
SVG,57,1983,44.37,70.00,114.38
SVG,57,1984,20.25,22.53,42.78
SVG,57,1985,31.68,29.58,61.25
SVG,57,1986,67.27,86.22,153.49
SVG,57,1987,57.21,97.46,154.67
SVG,57,1988,91.45,122.16,213.62
SVG,57,1989,99.36,135.69,235.06
SVG,57,1990,97.15,136.66,233.81
SVG,57,1991,88.02,139.52,227.54
SVG,57,1992,109.08,157.63,266.71
SVG,57,1993,84.56,142.72,227.28
SVG,57,1994,70.31,144.51,214.83
SVG,57,1995,53.36,141.45,194.81
SVG,57,1996,102.81,154.00,256.81
SVG,57,1997,104.81,156.99,261.80
SVG,57,1998,106.10,160.19,266.28
SVG,57,1999,108.13,164.86,272.99
SVG,57,2000,110.88,166.82,277.71
AAB,58,1981,8.01,22.46,30.47
AAB,58,1982,13.29,31.58,44.88
AAB,58,1983,12.47,27.48,39.95
AAB,58,1984,6.24,42.27,48.51
AAB,58,1985,8.61,54.26,62.87
AAB,58,1986,7.30,82.36,89.66
AAB,58,1987,14.41,94.35,108.76
AAB,58,1988,31.66,168.53,200.19
AAB,58,1989,48.89,189.87,238.77
AAB,58,1990,33.21,175.95,209.16
AAB,58,1991,25.08,629.41,654.49
AAB,58,1992,29.21,195.72,224.93
AAB,58,1993,27.87,168.94,196.81
AAB,58,1994,46.78,340.59,387.37
AAB,58,1995,46.56,278.52,325.08
AAB,58,1996,91.15,338.27,429.41
AAB,58,1997,115.80,344.67,460.47
AAB,58,1998,94.06,349.06,443.12
AAB,58,1999,95.45,353.97,449.42
AAB,58,2000,97.42,361.41,458.84
SKN,60,1983,3.38,11.43,14.81
SKN,60,1984,3.67,12.80,16.47
SKN,60,1985,14.65,24.06,38.70
SKN,60,1986,9.78,23.64,33.42
SKN,60,1987,14.07,299.57,313.64
SKN,60,1988,34.60,89.15,123.75
SKN,60,1989,44.76,119.20,163.96
SKN,60,1990,29.98,107.85,137.83
SKN,60,1991,36.16,96.13,132.30
SKN,60,1992,63.89,572.68,636.57
SKN,60,1993,61.91,129.17,191.08
SKN,60,1994,44.28,124.58,168.87
SKN,60,1995,40.50,159.51,200.01
SKN,60,1996,42.21,133.56,175.77
SKN,60,1997,43.03,136.17,179.20
SKN,60,1998,43.56,137.84,181.40
SKN,60,1999,44.19,139.83,184.02
SKN,60,2000,45.11,142.76,187.88
MEX,70,1948,480.47,497.10,977.57
MEX,70,1949,474.14,435.63,909.77
MEX,70,1950,513.47,480.05,993.52
MEX,70,1951,632.09,744.38,1376.48
MEX,70,1952,596.69,699.77,1296.46
MEX,70,1953,501.90,738.76,1240.65
MEX,70,1954,508.18,732.54,1240.72
MEX,70,1955,629.58,816.83,1446.40
MEX,70,1956,667.62,979.06,1646.68
MEX,70,1957,588.60,1049.73,1638.33
MEX,70,1958,568.40,1029.72,1598.12
MEX,70,1959,614.17,913.09,1527.26
MEX,70,1960,637.93,1072.66,1710.59
MEX,70,1961,687.55,1029.25,1716.80
MEX,70,1962,778.02,1032.24,1810.26
MEX,70,1963,841.38,1122.46,1963.84
MEX,70,1964,907.77,1349.52,2257.29
MEX,70,1965,1000.66,1424.25,2424.91
MEX,70,1966,1040.00,1462.63,2502.62
MEX,70,1967,991.08,1594.71,2585.79
MEX,70,1968,1050.96,1788.46,2839.43
MEX,70,1969,1214.48,1882.15,3096.63
MEX,70,1970,1103.74,2110.53,3214.27
MEX,70,1971,1200.38,2034.06,3234.43
MEX,70,1972,1675.11,2448.40,4123.51
MEX,70,1973,2110.98,3424.16,5535.15
MEX,70,1974,2911.63,5468.25,8379.88
MEX,70,1975,2728.39,5927.05,8655.44
MEX,70,1976,3348.38,5401.75,8750.13
MEX,70,1977,4090.17,4985.29,9075.46
MEX,70,1978,5817.01,6879.17,12696.18
MEX,70,1979,8802.00,10975.12,19777.12
MEX,70,1980,15210.63,16526.27,31736.90
MEX,70,1981,19395.59,20883.71,40279.30
MEX,70,1982,21002.06,13104.30,34106.36
MEX,70,1983,21938.50,7357.75,29296.25
MEX,70,1984,23731.51,9540.71,33272.22
MEX,70,1985,21731.01,13024.90,34755.92
MEX,70,1986,15869.78,11320.41,27190.19
MEX,70,1987,20611.26,12647.85,33259.12
MEX,70,1988,20456.93,19497.46,39954.39
MEX,70,1989,23001.34,22083.79,45085.13
MEX,70,1990,26942.16,29955.57,56897.73
MEX,70,1991,42504.87,49127.78,91632.65
MEX,70,1992,46070.44,61180.64,107251.09
MEX,70,1993,51711.50,64652.16,116363.67
MEX,70,1994,61016.49,78071.09,139087.58
MEX,70,1995,78876.17,71641.82,150517.99
MEX,70,1996,95047.32,88312.12,183359.44
MEX,70,1997,109801.96,109846.38,219648.34
MEX,70,1998,117083.57,125361.36,242444.92
MEX,70,1999,135407.86,141763.33,277171.19
MEX,70,2000,165181.13,173696.32,338877.45
BLZ,80,1981,94.37,109.00,203.38
BLZ,80,1982,80.02,93.76,173.78
BLZ,80,1983,92.74,110.84,203.58
BLZ,80,1984,92.18,117.77,209.95
BLZ,80,1985,93.41,120.39,213.79
BLZ,80,1986,90.03,105.05,195.08
BLZ,80,1987,101.88,143.38,245.26
BLZ,80,1988,113.53,176.03,289.56
BLZ,80,1989,133.31,216.31,349.62
BLZ,80,1990,132.15,211.02,343.17
BLZ,80,1991,127.13,252.85,379.98
BLZ,80,1992,116.43,273.45,389.87
BLZ,80,1993,142.02,277.11,419.14
BLZ,80,1994,156.73,245.77,402.50
BLZ,80,1995,167.75,249.83,417.58
BLZ,80,1996,173.33,261.55,434.89
BLZ,80,1997,324.11,340.36,664.48
BLZ,80,1998,328.00,373.54,701.54
BLZ,80,1999,415.73,411.98,827.71
BLZ,80,2000,353.38,472.36,825.74
GUA,90,1948,49.71,64.10,113.81
GUA,90,1949,56.61,66.78,123.39
GUA,90,1950,71.37,69.71,141.08
GUA,90,1951,79.98,79.01,158.99
GUA,90,1952,91.56,73.46,165.01
GUA,90,1953,97.04,75.90,172.94
GUA,90,1954,102.27,89.23,191.49
GUA,90,1955,104.05,103.98,208.04
GUA,90,1956,121.73,130.02,251.74
GUA,90,1957,114.30,139.83,254.13
GUA,90,1958,108.53,144.58,253.11
GUA,90,1959,109.19,128.82,238.01
GUA,90,1960,118.38,132.77,251.15
GUA,90,1961,116.29,128.07,244.36
